Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Rented","Being occupied rent-free","Being occupied under a life tenure scheme","Other tenure type","Not stated","Not applicable","Total",
"LGA",
"Alpine (S)",2233,1454,10,1125,95,13,55,574,1683,7239,
"Ararat (RC)",1879,1225,5,980,96,21,30,404,779,5407,
"Ballarat (C)",12426,12720,23,11962,239,146,155,2935,4621,45230,
"Banyule (C)",16713,15493,35,10844,284,131,149,2557,4022,50228,
"Bass Coast (S)",5842,3770,5,3246,184,39,75,1184,11465,25813,
"Baw Baw (S)",6805,6607,14,3480,217,53,79,1485,2175,20919,
"Bayside (C)",14392,11608,18,7923,270,146,153,2263,4309,41092,
"Benalla (RC)",2345,1669,5,1308,62,48,30,546,800,6812,
"Boroondara (C)",22791,17367,65,17869,602,201,285,3612,6625,69419,
"Brimbank (C)",21826,21042,95,15626,528,146,269,5321,4423,69274,
"Buloke (S)",1369,565,0,363,78,10,12,290,516,3211,
"Campaspe (S)",5523,4555,8,3092,228,59,63,1277,2061,16875,
"Cardinia (S)",7626,15219,39,6925,199,229,154,2262,2441,35102,
"Casey (C)",21943,47502,120,19297,420,340,359,6244,5823,102049,
"Central Goldfields (S)",2460,1546,0,1149,63,33,32,482,862,6639,
"Colac-Otway (S)",3340,2596,8,1741,130,22,51,773,3085,11742,
"Corangamite (S)",2674,1777,3,1131,228,27,46,589,1265,7753,
"Darebin (C)",16733,15106,52,20727,483,134,208,4970,5144,63556,
"East Gippsland (S)",8083,4945,13,3800,254,61,96,1899,5069,24214,
"Frankston (C)",13229,20207,64,14144,243,476,215,4120,4235,56938,
"Gannawarra (S)",2055,1103,5,781,111,23,34,398,780,5290,
"Glen Eira (C)",17099,16070,42,17337,503,184,201,3282,5085,59814,
"Glenelg (S)",3235,2394,3,1657,132,25,29,771,1707,9951,
"Golden Plains (S)",2534,3883,7,548,86,12,23,468,788,8347,
"Greater Bendigo (C)",13817,14699,33,11421,307,94,145,3456,5121,49089,
"Greater Dandenong (C)",14739,14630,100,16683,406,187,212,4216,3611,54779,
"Greater Geelong (C)",30488,29736,104,23735,643,354,362,6369,14343,106149,
"Greater Shepparton (C)",7576,7542,24,6351,231,132,113,2436,2555,26963,
"Hepburn (S)",2698,2099,10,969,102,19,40,696,2076,8707,
"Hindmarsh (S)",1236,591,0,359,52,15,17,182,593,3042,
"Hobsons Bay (C)",11182,10770,24,9450,228,53,119,2372,2982,37183,
"Horsham (RC)",2956,2559,5,1901,86,32,39,512,1153,9232,
"Hume (C)",15962,27280,87,14550,365,84,266,4619,4192,67404,
"Indigo (S)",2499,2193,5,1019,77,17,30,422,770,7036,
"Kingston (C)",19472,20641,57,14000,370,193,240,3794,5101,63861,
"Knox (C)",18379,22827,56,10359,303,494,282,2738,3707,59148,
"Latrobe (C)",10117,9615,29,7373,183,67,106,2787,3887,34167,
"Loddon (S)",1586,773,0,388,103,13,33,424,856,4173,
"Macedon Ranges (S)",5794,7227,14,2243,143,18,71,1259,1888,18657,
"Manningham (C)",18403,12867,42,7186,373,243,213,2219,3863,45408,
"Mansfield (S)",1473,1009,4,569,87,33,22,346,2413,5950,
"Maribyrnong (C)",6551,9416,35,13534,216,59,125,2808,3001,35738,
"Maroondah (C)",13098,16237,38,9405,199,117,140,2122,3145,44501,
"Melbourne (C)",8344,9451,95,38401,948,231,275,8040,10013,75805,
"Melton (C)",9440,21888,53,8779,224,116,172,3314,2723,46705,
"Mildura (RC)",6529,6483,24,5911,257,122,105,2220,2448,24104,
"Mitchell (S)",3964,6266,15,2985,133,45,55,1397,1455,16324,
"Moira (S)",4590,3354,11,2390,225,35,58,1072,2058,13794,
"Monash (C)",23882,18126,73,18057,532,311,257,3668,5713,70623,
"Moonee Valley (C)",15312,12681,26,13914,363,74,196,3446,4156,50167,
"Moorabool (S)",3716,5040,10,1965,114,33,62,912,1277,13123,
"Moreland (C)",18453,17627,58,22837,532,116,256,4814,6025,70711,
"Mornington Peninsula (S)",23128,20567,74,11627,583,533,347,4252,28007,89110,
"Mount Alexander (S)",3339,2524,6,1254,75,24,41,672,1374,9307,
"Moyne (S)",2505,2032,8,991,234,20,39,546,1705,8072,
"Murrindindi (S)",2314,1908,4,780,78,9,31,630,1803,7560,
"Nillumbik (S)",7679,9762,9,1789,121,47,96,940,1316,21755,
"Northern Grampians (S)",2178,1318,3,1015,85,9,27,472,1008,6116,
"Port Phillip (C)",8998,10512,23,24506,389,98,159,5928,7267,57869,
"Pyrenees (S)",1395,830,4,338,73,5,22,274,637,3579,
"Queenscliffe (B)",718,226,0,207,25,0,5,111,1510,2807,
"South Gippsland (S)",4785,3689,7,1849,221,41,70,1061,4194,15911,
"Southern Grampians (S)",2861,1856,5,1265,149,39,34,465,1333,8003,
"Stonnington (C)",12075,9874,31,20511,447,158,179,4140,6761,54176,
"Strathbogie (S)",2010,1200,5,732,109,12,31,418,1157,5681,
"Surf Coast (S)",4045,3838,11,2032,139,54,67,707,7387,18264,
"Swan Hill (RC)",2701,2163,7,1996,162,20,40,1141,969,9204,
"Towong (S)",1097,707,0,385,70,9,18,216,606,3114,
"Wangaratta (RC)",4430,3582,13,2436,144,52,51,963,1406,13073,
"Warrnambool (C)",4325,3961,14,3867,78,80,43,1185,1631,15183,
"Wellington (S)",6435,5428,16,3565,282,63,66,1480,4904,22242,
"West Wimmera (S)",848,379,0,203,102,4,14,97,582,2238,
"Whitehorse (C)",21558,18690,66,15841,507,509,298,2964,5452,65881,
"Whittlesea (C)",18372,27809,71,15192,393,213,259,4221,4485,71013,
"Wodonga (C)",3871,4913,10,5067,70,52,45,1102,1389,16517,
"Wyndham (C)",13479,32466,82,18918,346,204,225,4582,5011,75310,
"Yarra (C)",7243,8120,19,19767,276,103,149,4185,4164,44033,
"Yarra Ranges (S)",17757,25053,59,7274,332,280,234,3112,4873,58971,
"Yarriambiack (S)",1466,649,3,379,80,8,13,267,696,3565,
"Unincorporated Vic",160,59,0,230,32,3,40,228,756,1507,
"Migratory - Offshore - Shipping (Vic.)",0,0,0,0,0,0,0,0,11,11,
"Total",689164,748171,2213,597848,19142,8531,9482,167736,283257,2525539,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
