Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Rented","Being occupied rent-free","Being occupied under a life tenure scheme","Other tenure type","Not stated","Not applicable","Total",
"LGA",
"Albany (C)",4991,4207,50,3672,215,82,92,1029,2598,16926,
"Armadale (C)",6078,14207,259,6070,151,122,82,2063,2822,31867,
"Ashburton (S)",453,70,5,1621,187,4,45,381,821,3590,
"Augusta-Margaret River (S)",1648,1887,13,1424,130,40,39,477,2142,7799,
"Bassendean (T)",1755,2309,20,1620,50,20,28,375,670,6843,
"Bayswater (C)",7345,8769,55,7908,219,133,75,1900,3492,29903,
"Belmont (C)",3505,4600,29,5988,126,36,55,2002,2120,18457,
"Beverley (S)",339,197,5,82,24,3,4,94,175,921,
"Boddington (S)",194,230,0,183,10,3,3,71,196,896,
"Boyup Brook (S)",319,179,4,106,37,4,9,65,185,901,
"Bridgetown-Greenbushes (S)",804,629,6,332,34,21,9,187,390,2413,
"Brookton (S)",187,67,0,78,21,6,3,45,101,514,
"Broome (S)",2199,1301,14,2969,200,18,80,1248,824,8857,
"Broomehill-Tambellup (S)",177,79,0,67,30,0,8,54,90,500,
"Bruce Rock (S)",183,61,0,96,18,4,6,40,79,478,
"Bunbury (C)",3666,3914,42,4311,104,121,46,1134,2105,15440,
"Busselton (C)",4462,4572,27,3516,174,113,67,1033,4795,18753,
"Cambridge (T)",3614,3339,6,2010,83,96,40,645,944,10771,
"Canning (C)",9752,10942,66,8944,272,215,104,1846,3538,35683,
"Capel (S)",1467,2708,33,1234,51,6,15,384,762,6656,
"Carnamah (S)",101,60,0,47,22,0,0,27,121,380,
"Carnarvon (S)",1289,437,6,864,80,6,37,601,408,3727,
"Chapman Valley (S)",213,196,0,36,20,0,7,86,111,653,
"Chittering (S)",552,973,6,154,48,7,13,163,293,2211,
"Claremont (T)",1573,999,4,1053,56,75,28,387,590,4772,
"Cockburn (C)",9506,16861,124,8988,252,111,103,2766,4155,42856,
"Collie (S)",1232,1201,8,710,37,0,12,305,547,4060,
"Coolgardie (S)",252,453,5,465,20,0,3,188,371,1765,
"Coorow (S)",243,66,4,102,31,0,7,41,430,922,
"Corrigin (S)",205,85,5,105,27,0,0,34,107,568,
"Cottesloe (T)",1168,757,0,805,33,6,12,224,630,3634,
"Cranbrook (S)",185,66,6,79,33,0,4,42,137,559,
"Cuballing (S)",160,100,0,33,13,0,0,39,60,410,
"Cue (S)",56,10,0,26,6,0,0,44,57,198,
"Cunderdin (S)",191,122,4,124,27,0,10,67,103,640,
"Dalwallinu (S)",204,111,0,145,35,0,6,61,147,708,
"Dandaragan (S)",577,334,6,289,65,3,24,145,1507,2956,
"Dardanup (S)",1427,2182,10,1027,43,77,24,363,526,5677,
"Denmark (S)",983,605,3,528,54,27,29,228,925,3376,
"Derby-West Kimberley (S)",572,189,0,1581,156,4,53,452,701,3695,
"Donnybrook-Balingup (S)",885,820,4,330,42,3,17,234,435,2774,
"Dowerin (S)",139,52,0,60,15,0,0,18,91,380,
"Dumbleyung (S)",133,49,0,55,22,0,9,39,87,386,
"Dundas (S)",157,43,0,81,24,0,7,193,267,774,
"East Fremantle (T)",1058,1008,0,590,20,0,8,186,413,3281,
"East Pilbara (S)",252,56,19,1266,190,3,53,388,1089,3317,
"Esperance (S)",1719,1475,7,1398,201,15,29,733,1069,6642,
"Exmouth (S)",855,307,4,486,28,5,37,355,344,2417,
"Fremantle (C)",3632,3644,21,3842,106,95,61,1242,1956,14594,
"Gingin (S)",831,664,0,321,55,3,19,262,1730,3890,
"Gnowangerup (S)",172,99,0,110,36,0,8,67,165,657,
"Goomalling (S)",181,99,0,85,18,0,0,55,80,524,
"Gosnells (C)",10167,18344,208,8884,268,339,152,2466,3597,44408,
"Greater Geraldton (C)",4280,4764,42,4251,182,50,60,1374,2531,17538,
"Halls Creek (S)",188,27,0,558,108,3,34,249,282,1441,
"Harvey (S)",2803,3909,28,1913,99,50,30,818,1322,10977,
"Irwin (S)",637,413,0,369,42,8,10,114,400,1988,
"Jerramungup (S)",159,97,4,107,32,5,7,67,346,821,
"Joondalup (C)",18708,24849,69,9079,250,151,147,2378,4713,60348,
"Kalamunda (S)",6980,9225,53,3178,145,155,65,1298,1686,22786,
"Kalgoorlie/Boulder (C)",1780,4167,12,3826,119,10,31,1383,1719,13047,
"Karratha (C)",683,922,8,4504,504,10,61,902,2236,9815,
"Katanning (S)",441,419,3,448,34,7,6,236,236,1835,
"Kellerberrin (S)",205,114,0,90,19,0,6,61,67,566,
"Kent (S)",101,31,0,31,28,0,4,38,70,304,
"Kojonup (S)",331,160,0,166,49,0,11,85,167,970,
"Kondinin (S)",147,59,0,83,28,0,4,27,99,445,
"Koorda (S)",90,30,3,42,14,0,4,14,52,245,
