Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"POA (UR)",
"2600, ACT",672,802,752,866,1019,1035,1053,611,345,85,0,7247,
"2601, ACT",96,1391,3222,838,297,242,178,62,25,11,0,6365,
"2602, ACT",3541,3068,5431,5028,4333,3475,2519,1575,1157,317,7,30448,
"2603, ACT",852,1210,1278,1142,1373,1404,1044,540,386,133,4,9357,
"2604, ACT",989,856,1851,1952,1390,1422,930,513,313,165,5,10382,
"2605, ACT",1535,1439,1040,1376,1733,1592,1138,972,661,230,9,11726,
"2606, ACT",1044,853,1646,1793,1224,1035,795,646,327,61,0,9420,
"2607, ACT",1586,1705,1461,1567,1915,1892,1462,1285,619,117,4,13613,
"2609, ACT",69,57,93,113,127,150,153,92,25,4,0,885,
"2612, ACT",968,1446,5486,3012,1603,1533,1061,663,321,86,0,16185,
"2614, ACT",2509,2142,2481,2667,2734,2225,1902,1691,840,198,6,19388,
"2615, ACT",6866,5264,5594,7243,6276,4962,4549,2479,796,140,6,44173,
"2617, ACT",3478,3224,7742,5426,3689,3295,3328,1490,654,170,4,32499,
"2900, ACT",176,120,364,400,220,221,224,144,45,11,0,1924,
"2902, ACT",2005,1898,1570,1909,2115,1922,2181,986,279,33,0,14900,
"2903, ACT",1239,1122,1048,1207,1201,1340,1333,521,170,23,0,9207,
"2904, ACT",1561,1561,1439,1532,1621,2037,1817,722,438,132,8,12864,
"2905, ACT",3993,3811,4163,3969,3919,4466,2666,1118,440,82,0,28621,
"2906, ACT",2459,2619,2453,2327,2833,2633,1317,700,260,38,0,17636,
"2911, ACT",870,385,837,1222,569,288,188,79,27,5,0,4462,
"2912, ACT",862,726,1340,1247,907,575,317,132,36,7,0,6140,
"2913, ACT",5566,4335,5720,6829,5076,3782,2309,1042,352,41,0,35058,
"2914, ACT",5175,3469,3430,5506,4248,1907,954,398,111,8,0,25202,
"Total",48112,43505,60445,59178,50427,43418,33417,18449,8637,2081,46,367714,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
