Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"POA (UR)",
"2000, NSW",991,1299,10803,7363,2549,1926,1444,724,268,49,0,27411,
"2006, NSW",5,564,623,19,18,13,4,6,0,0,0,1261,
"2007, NSW",306,773,4517,1699,644,372,305,138,77,16,0,8846,
"2008, NSW",312,1069,6169,2217,803,589,373,142,36,9,0,11712,
"2009, NSW",943,526,3169,3516,1597,1332,1073,487,156,15,0,12813,
"2010, NSW",1090,713,7304,7878,4193,2996,1962,1001,500,105,0,27733,
"2011, NSW",615,597,5527,5520,3012,2387,1835,970,546,182,4,21199,
"2015, NSW",890,438,2406,2785,1608,953,525,209,94,14,0,9922,
"2016, NSW",725,467,3358,3079,1867,1530,1105,700,354,37,0,13213,
"2017, NSW",1514,1821,8560,6039,2359,1756,1378,839,379,46,0,24694,
"2018, NSW",1829,1755,3331,3040,2242,1747,1410,1067,534,80,0,17028,
"2019, NSW",1574,1214,1459,1752,1753,1325,863,554,282,71,0,10840,
"2020, NSW",1476,1327,3739,3241,1758,1396,934,568,289,49,0,14771,
"2021, NSW",1482,960,2960,3403,2229,1692,1283,924,319,74,0,15312,
"2022, NSW",1357,937,2225,2583,1727,1288,1028,768,479,120,3,12510,
"2023, NSW",1252,1357,1458,1677,1539,1294,1136,642,279,88,6,10719,
"2024, NSW",1424,1109,1255,2036,1750,1311,909,593,461,220,4,11073,
"2025, NSW",811,532,998,1248,969,870,852,655,353,117,4,7407,
"2026, NSW",3503,2108,6470,8542,4738,2826,2128,1280,712,182,0,32489,
"2027, NSW",602,586,1080,1342,950,950,1094,915,473,192,0,8191,
"2028, NSW",377,309,779,903,539,481,535,421,212,76,3,4643,
"2029, NSW",1229,1053,1171,1759,1458,1076,960,711,413,131,0,9957,
"2030, NSW",1892,2132,1421,1471,2154,1974,1486,904,476,163,10,14080,
"2031, NSW",4079,2790,6371,7234,5026,3631,2601,1639,1000,347,16,34729,
"2032, NSW",1305,1865,5629,2056,1739,1455,1182,836,521,102,0,16692,
"2033, NSW",1053,1174,3223,2032,1265,1065,744,557,373,81,0,11573,
"2034, NSW",2340,1721,3450,4463,3064,2272,1712,1024,548,115,0,20716,
"2035, NSW",3907,3686,5517,5268,4796,4017,3144,2348,1478,330,4,34496,
"2036, NSW",3489,3435,4038,4281,4502,3994,3228,2103,1085,252,3,30411,
"2037, NSW",1130,1125,4275,3052,2021,1781,1554,795,314,68,0,16119,
"2038, NSW",1175,744,1441,1795,1607,1156,904,406,194,43,0,9452,
"2039, NSW",1174,586,1033,1910,1594,1059,884,370,102,13,0,8726,
"2040, NSW",3381,1811,2727,4112,3982,2606,1860,1027,580,156,0,22242,
"2041, NSW",1988,1275,1638,2583,2720,2264,1881,976,308,57,0,15687,
"2042, NSW",1454,1098,5246,4432,2933,1971,1159,519,275,29,0,19128,
"2043, NSW",712,354,1784,2326,1378,825,399,158,62,11,0,8014,
"2044, NSW",864,576,1410,1680,1261,890,644,317,173,30,0,7840,
"2045, NSW",735,860,651,594,1001,986,665,452,411,95,4,6453,
"2046, NSW",3428,2527,2632,4166,4343,3536,2826,1866,1223,266,3,26822,
"2047, NSW",1366,1009,1385,2149,1773,1488,1264,825,521,157,0,11950,
"2048, NSW",803,578,1668,1615,1257,854,571,377,189,30,0,7940,
"2049, NSW",1105,891,2102,2292,1814,1331,934,508,262,43,0,11278,
"2050, NSW",553,455,2949,2251,1201,775,477,193,97,18,0,8967,
"2052, NSW",15,913,2261,148,38,24,19,10,7,0,0,3428,
"2060, NSW",1036,876,2599,3229,1861,1529,1449,927,383,101,4,13987,
"2061, NSW",334,211,999,1282,737,802,782,557,194,42,0,5943,
