Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"POA (UR)",
"0800, NT",424,230,1939,1691,819,752,457,126,33,4,0,6467,
"0810, NT",4840,3746,5181,6091,4882,3798,2861,1408,434,67,0,33302,
"0812, NT",2753,2541,2504,2911,2696,2664,1862,734,190,14,0,18875,
"0815, NT",0,29,203,38,10,4,7,0,0,0,0,286,
"0820, NT",2104,1803,3723,3812,2845,2442,1718,695,249,57,0,19449,
"0822, NT",4381,4454,4081,4109,3443,2831,1613,532,109,4,0,25558,
"0828, NT",109,286,167,134,147,173,138,47,9,5,0,1203,
"0829, NT",37,113,789,405,283,162,45,15,0,0,0,1835,
"0830, NT",3224,2488,2835,3134,2718,2075,1147,442,133,22,0,18209,
"0832, NT",3164,1883,3120,3223,2141,1173,615,193,58,6,0,15571,
"0834, NT",220,246,205,202,326,347,213,57,14,3,0,1834,
"0835, NT",356,425,709,974,1067,888,496,181,40,4,0,5131,
"0836, NT",1198,1081,839,1151,1390,1139,679,230,48,6,0,7752,
"0837, NT",58,43,47,52,70,75,49,17,0,0,0,412,
"0838, NT",132,109,95,130,119,114,87,29,3,0,0,816,
"0839, NT",70,55,159,78,63,43,51,17,5,0,0,551,
"0840, NT",26,12,16,16,54,62,124,40,5,0,0,365,
"0841, NT",102,98,64,104,112,121,71,28,0,0,0,702,
"0845, NT",92,45,57,56,56,84,84,27,5,0,0,509,
"0846, NT",49,29,39,31,37,61,57,35,6,3,0,357,
"0847, NT",52,46,41,26,50,49,43,18,8,0,0,329,
"0850, NT",1232,1094,1200,1231,1070,1077,781,351,84,9,0,8137,
"0852, NT",1625,1450,1542,1148,1007,849,468,172,44,4,0,8300,
"0853, NT",191,73,242,201,113,42,0,0,0,0,0,856,
"0854, NT",177,156,147,113,111,92,42,25,6,0,0,875,
"0860, NT",474,356,510,431,415,417,267,102,18,7,0,2997,
"0862, NT",154,140,168,94,83,51,57,24,0,0,0,762,
"0870, NT",2841,2352,2862,3275,2909,2815,1734,620,192,27,0,19631,
"0873, NT",285,276,277,265,386,404,299,138,84,17,0,2434,
"0874, NT",94,66,77,122,85,72,34,9,6,0,0,547,
"0875, NT",444,331,300,373,343,331,166,57,26,0,0,2373,
"0880, NT",957,880,793,864,760,581,305,67,9,0,0,5212,
"0885, NT",188,78,115,199,149,109,43,0,0,0,0,875,
"0886, NT",196,102,155,191,204,139,72,17,0,0,0,1077,
"Total",32258,27097,35187,36875,30957,26035,16672,6452,1819,248,0,213607,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
