"Taxation statistics 2015–16 Companies: Selected items, for income years 1980–81 to 2015–161,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-882,1988-892,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
COMPANY TAX RATE,,46%,46%,46%,46%,46%,46%,49%,49%,39%,39%,39%,39%,39%,33%,33%,36%,36%,36%,36%,36%,34%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%
Number of companies by status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 - resident ,no.,na,na,na,"232,370","257,190","311,600","291,735","107,885","149,170","415,575","429,685","444,860","464,500","498,860","534,635","559,585","592,670","619,110","646,405","679,900","710,585","732,065","750,345","767,120","789,035","809,140","831,155","842,105","836,810","851,320","867,740","894,045","920,122","951,712","967,215","937,971"
 - non-resident no permanent establishment,no.,na,na,na,"5,150","5,730","5,855","5,325","2,305","3,220","4,530","3,345","3,280","3,790","1,685","1,530","1,525","1,570","1,540","1,700","1,835","2,060","2,205","2,245","2,385","2,045","1,825","1,755","1,690","1,565","1,525","1,635","1,730","1,766","1,771","1,740","1,629"
 - non-resident with permanent establishment,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,640,700,770,901,"1,013","1,056",994
 - not stated ,no.,na,na,na,na,na,na,na,na,na,395,5,na,na,na,na,na,na,na,na,na,na,na,10,15,320,600,880,940,935,na,430,436,491,555,600,572
 - Total status ,no.,na,na,na,"237,520","262,920","317,455","297,060","110,190","152,385","420,500","433,030","448,140","468,285","500,545","536,165","561,110","594,235","620,655","648,105","681,735","712,645","734,270","752,600","769,520","791,405","811,560","833,790","844,735","839,315","853,480","870,505","896,981","923,280","955,051","970,611","941,166"
Number of companies by type,,,,,,,,,,,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,
 - Public,no.,"14,625","14,945","14,505","15,395","17,260","20,425","22,350","13,605","15,865","29,385","28,145","28,775","26,830","28,020","28,560","21,120","19,570","18,570","19,255","19,945","20,930","21,670","17,600","11,855","9,680","9,785","10,010","10,010","11,095","9,860","9,845","9,759","9,718","9,612","9,502","9,145"
 - Private,no.,"206,895","212,900","209,090","213,365","236,480","287,430","265,345","92,435","131,240","387,500","401,015","414,380","430,470","462,845","498,810","514,660","517,790","556,830","586,490","618,035","641,275","660,765","681,215","700,530","722,075","738,950","758,330","767,240","760,185","773,930","788,980","813,679","839,867","867,413","884,732","857,428"
 - Public trading trust,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,489,524,507
 - Limited partnership,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,279","1,218","1,105"
 - Cooperative,no.,"3,670","2,760","2,445","2,160","1,845","2,085","2,480","1,000","1,195",na,na,na,na,na,na,na,"25,435","12,555","6,760","5,380","4,290","3,865","2,910","2,860","3,145","3,180","3,160","3,115","2,945","2,765","2,770","2,775","2,735","2,942","2,886","2,565"
