,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diff,0,0,0,0,0,0,,,,,,,
"Taxation statistics 2015–16 Individuals: Selected items, by gender, taxable status, age range and taxable income range, 2015–16 income year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2a,"1,815,406","35,789,024,978","89,107","1,039,352,825","39,578","190,587,107",,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,"1,815,406","35,789,024,978","89,107","1,039,352,825","39,578","190,587,107",,,,,,,
Gender,Taxable status,Age range3,Taxable income range,Taxable income range - tax brackets, Number of individuals no. ,Taxable income or loss2 no.,Taxable income or loss2 $, Tax on taxable income no. , Tax on taxable income $ , Medicare levy no. , Medicare levy $ , Medicare levy surcharge no. , Medicare levy surcharge $ ,Total Medicare levy liability no.,Total Medicare levy liability $, Net tax no. , Net tax $ , HELP assessment debt no. , HELP assessment debt $ , Salary or wages no. , Salary or wages $ , Tax withheld from salary or wages no. , Tax withheld from salary or wages $ , Allowances earnings tips directors fees etc no. , Allowances earnings tips directors fees etc $ , Employer lump sum payments amount A no. , Employer lump sum payments amount A $ , Employment termination payments taxable component no. , Employment termination payments taxable component $ , Australian government allowances and payments no. , Australian government allowances and payments $ , Australian government pensions and allowances no. , Australian government pensions and allowances $ , Australian annuities and superannuation income streams taxable component taxed element no. , Australian annuities and superannuation income streams taxable component taxed element $ , Australian annuities and superannuation income streams taxable component untaxed element no. , Australian annuities and superannuation income streams taxable component untaxed element $ , Gross interest no. , Gross interest $ , Dividends unfranked no. , Dividends unfranked $ , Dividends franked no. , Dividends franked $ , Dividends franking credit no. , Dividends franking credit $ ,Total Income or Loss2 no.,Total Income or Loss2 $, Total work related car expenses no. , Total work related car expenses $ , Work related travel expenses no. , Work related travel expenses $ , Total work related uniform/clothing expenses no. , Total work related uniform/clothing expenses $ , Total work related self education expenses no. , Total work related self education expenses $ , Other work related expenses no. , Other work related expenses $ ,Total work related expenses no.,Total work related expenses $, Low value pool deduction no. , Low value pool deduction $ , Interest deductions no. , Interest deductions $ , Dividend deductions no. , Dividend deductions $ , Gifts or donations no. , Gifts or donations $ , Cost of managing tax affairs no. , Cost of managing tax affairs $ ,Total deductions2 no.,Total deductions2 $, Total reportable fringe benefits amount no. , Total reportable fringe benefits amount $ , Reportable employer superannuation contributions no. , Reportable employer superannuation contributions $ , P&T net primary production amount no. , P&T net primary production amount $ , P&T net non-primary production amount no. , P&T net non-primary production amount $ , Share of franking credit from franked dividends no. , Share of franking credit from franked dividends $ , Net PSI transferred no. , Net PSI transferred $ , Deferred non-commercial business losses primary production deferred losses no. , Deferred non-commercial business losses primary production deferred losses $ , Deferred non-commercial business losses non primary production deferred losses no. , Deferred non-commercial business losses non primary production deferred losses $ , Capital gains net capital gain no. , Capital gains net capital gain $ , Estimated tax on net capital gains no. , Estimated tax on net capital gains $ , Capital gains total current year capital gains no. , Capital gains total current year capital gains $ , Capital gains net capital losses carried forward no. , Capital gains net capital losses carried forward $ , Foreign source income assessable foreign source income no. , Foreign source income assessable foreign source income $ , Foreign source income other net foreign source income no. , Foreign source income other net foreign source income $ , Foreign source income foreign income tax offset no. , Foreign source income foreign income tax offset $ , Gross rent no. , Gross rent $ , Rent interest deductions no. , Rent interest deductions $ , Rent capital works deductions no. , Rent capital works deductions $ , Rent other rental deductions no. , Rent other rental deductions $ , Net rent - profit no. , Net rent - profit $ , Net rent - loss no. , Net rent - loss $ ,Net rent2 no.,Net rent2 $, Other income category 1 no. , Other income category 1 $ , Other income category 2 no. , Other income category 2 $ , Personal superannuation contributions no. , Personal superannuation contributions $ , Other deductions no. , Other deductions $ ,Total business income2 no.,Total business income2 $,Total business expenses2 no.,Total business expenses2 $, Net income or loss from business no. , Net income or loss from business $ , Estimated business net tax no. , Estimated business net tax $ , Australian superannuation income stream tax offset no. , Australian superannuation income stream tax offset $ ,Small business income tax offset no.,Small business income tax offset $, Low income tax offset no. , Low income tax offset $ , Employment termination payment tax offset no. , Employment termination payment tax offset $ , HELP debt balance no. , HELP debt balance $ , SFSS debt balance no. , SFSS debt balance $ ,TSL debt balance no.,TSL debt balance $, People with private health insurance no. ,Private health insurance - your Australian Government rebate received no.,Private health insurance - your Australian Government rebate received $,Private health insurance rebate no.,Private health insurance rebate $,Excess private health reduction or refund (rebate reduced) no.,Excess private health reduction or refund (rebate reduced) $
Female,Non Taxable,a. Under 18,"a. $6,000 or less","a. $18,200 or less","28,675","27,693","69,633,003",66,"7,840",0,0,0,0,0,0,0,0,0,0,"20,519","62,936,792","12,299","3,509,239","2,212","241,455",9,"2,290",14,"3,022",456,"1,065,058",24,"19,836",38,"82,714",10,"23,978","13,649","1,674,719",284,"22,773","1,554","540,563","1,554","231,431","27,720","70,712,389",44,"39,759",84,"32,372","2,723","369,622",52,"42,617","2,064","289,510","4,093","773,880",3,291,95,"27,144",82,"18,646",578,"34,230",479,"71,066","4,828","1,009,454",2,"3,430",104,"123,313",174,"137,452","4,545","2,934,839","2,965","807,033",39,"71,496",1,182,13,"97,834",539,"347,066",0,0,587,"688,384",153,"635,939",658,"183,758",647,"171,601",624,"20,796",14,"79,152",7,"31,449",4,"3,093",14,"52,057",7,"18,719",7,"-26,166",14,"-7,447",67,"46,618",56,"28,906",2,"60,000",26,"23,702",82,"263,208",43,"211,767",89,"25,847",0,0,1,431,1,0,23,"3,492",0,0,101,"1,133,947",0,0,29,"117,873","13,742",304,"223,521",0,0,0,0
Female,Non Taxable,a. Under 18,"b. $6,001 to $10,000","a. $18,200 or less","13,231","13,231","104,284,063",3,74,0,0,0,0,0,0,0,0,0,0,"12,822","99,049,478","10,468","3,376,722","1,742","414,135",9,"2,420",14,"5,148",526,"1,754,481",18,"76,387",12,"71,139",8,"40,358","6,874","697,699",23,"10,236",151,"115,053",150,"46,975","13,231","105,257,491",60,"36,800",68,"37,361","2,541","380,051",58,"40,274","1,958","408,659","3,733","903,145",1,94,19,"4,668",10,"3,001",441,"23,104",288,"34,523","4,012","973,441",2,6,106,"53,386",41,"54,775",729,"2,124,629",343,"395,523",22,"108,105",0,0,0,0,146,"229,413",0,0,150,"420,768",24,"70,036",170,"137,059",170,"136,843",157,"12,602",7,"88,832",3,"14,704",2,"8,974",7,"30,984",6,"34,353",1,-183,7,"34,170",57,"47,643",29,"69,676",0,0,8,"4,906",37,"534,901",21,"365,373",39,"168,018",0,0,0,0,0,0,0,0,0,0,90,"844,415",0,0,41,"147,759","5,283",102,"61,506",0,0,0,0
Female,Non Taxable,a. Under 18,"c. $10,001 to $18,200","a. $18,200 or less","11,903","11,903","157,183,922",9,"1,615",0,0,0,0,0,0,0,0,0,0,"11,265","143,218,828","10,057","4,893,509","1,718","1,020,971",11,"17,668",12,"6,323",899,"4,235,543",41,"318,868",25,"143,624",13,"122,688","5,717","775,273",20,"6,404",107,"175,041",107,"74,895","11,903","158,669,882",132,"88,612",110,"36,814","2,985","537,475",119,"113,625","2,061","598,259","4,072","1,374,785",9,"1,592",32,"24,696",9,"3,627",566,"30,446",317,"36,418","4,376","1,485,494",0,0,119,"137,477",49,"118,494",892,"6,391,445",491,"1,163,521",24,"112,796",1,595,5,"8,949",232,"750,752",0,0,235,"1,354,277",16,"138,032",237,"338,941",228,"278,097",198,"28,143",6,"40,701",0,0,1,474,6,"15,406",4,"25,006",2,-185,6,"24,821",63,"295,490",20,"30,077",0,0,21,"13,930",53,"604,268",37,"145,137",59,"459,131",0,0,5,"1,277",0,0,2,228,0,0,181,"2,128,319",0,0,100,"300,513","3,952",87,"54,588",0,0,0,0
Female,Non Taxable,a. Under 18,"d. $18,201 to $25,000","b. $18,201 to $37,000","1,832","1,832","35,815,295","1,832","470,532",9,412,0,0,0,0,0,0,0,0,"1,624","29,627,909","1,222","1,225,390",308,"844,447",4,"2,798",4,"1,593",177,"1,019,165",20,"320,804",5,"50,389",5,"57,250",770,"131,727",9,"4,922",25,"48,114",25,"20,615","1,832","36,334,096",73,"64,440",30,"11,300",641,"143,956",66,"80,954",493,"172,158",854,"472,808",6,"1,872",9,672,2,417,138,"9,496",113,"28,588",915,"518,807",0,0,23,"46,001",12,"66,019",250,"3,038,028",139,"528,200",6,"57,106",0,0,0,0,70,"419,887",0,0,73,"793,638",2,"20,789",64,"205,189",62,"204,272",56,"16,030",1,"18,200",0,0,0,0,1,"6,167",1,"12,033",0,0,1,"12,033",12,"103,344",6,"59,580",0,0,3,"4,954",17,"296,569",11,"37,475",17,"259,094",0,0,4,372,3,19,"1,747","437,887",0,0,30,"433,479",0,0,27,"119,552",588,10,"7,463",0,0,0,0
Female,Non Taxable,a. Under 18,"e. $25,001 to $30,000","b. $18,201 to $37,000",4,4,"106,285",4,"6,362",1,397,0,0,0,0,0,0,0,0,3,"22,023",2,"1,629",0,0,0,0,0,0,1,"3,828",3,"55,132",0,0,0,0,2,37,0,0,0,0,0,0,4,"106,415",0,0,0,0,0,0,0,0,1,25,1,25,0,0,0,0,0,0,1,105,0,0,2,130,0,0,0,0,0,0,1,"-1,673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"27,068",1,"27,068",1,"1,748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,445,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Female,Non Taxable,a. Under 18,"f. $30,001 to $37,000","b. $18,201 to $37,000",2,2,"66,336",2,"5,688",1,639,0,0,0,0,0,0,0,0,2,"49,754",2,"2,814",0,0,0,0,0,0,0,0,1,"16,855",0,0,0,0,1,7,0,0,0,0,0,0,2,"66,616",0,0,0,0,0,0,0,0,1,280,1,280,0,0,0,0,0,0,0,0,0,0,1,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2,814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,890,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
