"Taxation statistics 2015–16 Individuals: Number of individuals, by state/territory, postcode and taxable income range, 2015–16 income year",,,,,,,,,,,,,,,,,,mean,mean,mean,mean,mean,,,,,,102%,,,,,,,,,,,,,,,
Notes,,,,,,,,,,Adjusted Count (to make it all numeric),,,85%,15%,"792,777,873,465",," 1,232 ",9100,27600,58500,130000,230000,total,total,total,total,total,"806,815,476,512",diff,,,pro-rata per person rates,,,,,new total,,,,,,
State/ Territory1,Postcode,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more","f. $80,001 or more",Total,,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more",Taxable income or loss3 $ (from 6B),1239, Multiplier ,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more","a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more",Sum,for goal seek,1232,,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more","a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more",Sum,
ACT,2600,685,728,"1,699","1,789",680,na,"5,581",,685,728,"1,699","1,789",680,"569,612,119", 1.106219 , 1.106219 ,10066.5929,30531.6444,64713.8115,143808.47,254430.37,"6,895,616","22,227,037","109,948,766","257,273,353","173,012,652","569,611,854",265,1.106219,"if range(""R4"")=1 then Range(""AD4"").GoalSeek goal:=0, changingcell:=Range(""R4"")",10066.59738,30531.65843,64713.84176,143808.537,254430.489,"6,895,619","22,227,047","109,948,817","257,273,473","173,012,732","569,612,118",-1
ACT,2601,730,424,659,696,149,na,"2,658",,730,424,659,696,149,"183,288,078", 1.010000 , 1.010000 ,9191,27876,59085,131300,232300,"6,709,430","11,819,424","38,937,015","91,384,800","34,612,700","183,695,669","-407,591",1.01,"if range(""R5"")=1 then Range(""AD5"").GoalSeek goal:=0, changingcell:=Range(""R5"")",9170.606656,27814.14766,58953.89993,131008.6665,231784.5638,"6,694,543","11,793,199","38,850,620","91,182,032","34,535,900","183,288,079",1
ACT,2602,"2,899","3,314","6,563","5,799",882,na,"19,457",,"2,899","3,314","6,563","5,799",882,"1,379,212,924", 0.945000 , 0.945000 ,8599.5,26082,55282.5,122850,217350,"24,929,951","86,435,748","362,819,048","712,407,150","191,702,700","1,378,511,947","700,977",0.945,"if range(""R6"")=1 then Range(""AD6"").GoalSeek goal:=0, changingcell:=Range(""R6"")",8603.873041,26095.26277,55310.61137,122912.4696,217460.5231,"24,942,628","86,479,701","363,003,542","712,769,411","191,800,181","1,379,212,924",0
ACT,2603,790,848,"1,891","2,031",918,na,"6,478",,790,848,"1,891","2,031",918,"796,053,195", 1.290000 , 1.290000 ,11739,35604,75465,167700,296700,"9,273,810","30,192,192","142,704,315","340,598,700","272,370,600","795,436,317","616,878",1.29,"if range(""R7"")=1 then Range(""AD7"").GoalSeek goal:=0, changingcell:=Range(""R7"")",11748.10385,35631.61167,75523.52473,167830.055,296930.0972,"9,281,002","30,215,607","142,814,985","340,862,842","272,581,829","796,053,195",0
ACT,2604,872,912,"2,360","2,685",558,na,"7,387",,872,912,"2,360","2,685",558,"637,350,002", 0.982500 , 0.982500 ,8940.75,27117,57476.25,127725,225975,"7,796,334","24,730,704","135,643,950","342,941,625","126,094,050","637,432,638","-82,636",0.9825,"if range(""R8"")=1 then Range(""AD8"").GoalSeek goal:=0, changingcell:=Range(""R8"")",8939.590932,27113.48458,57468.79885,127708.4419,225945.7049,"7,795,323","24,727,498","135,626,365","342,897,166","126,077,703","637,350,001",-1
ACT,2605,"1,029","1,103","2,396","2,263",646,na,"7,437",,"1,029","1,103","2,396","2,263",646,"636,217,180", 1.021261 , 1.021261 ,9293.4751,28186.8036,59743.7685,132763.93,234890.03,"9,562,986","31,090,044","143,146,069","300,444,774","151,738,959","636,217,722",-542,1.021261,"if range(""R9"")=1 then Range(""AD9"").GoalSeek goal:=0, changingcell:=Range(""R9"")",9293.467301,28186.77925,59743.71747,132763.8171,234889.8293,"9,562,978","31,090,018","143,145,947","300,444,518","151,738,830","636,217,181",1
ACT,2606,823,"1,127","2,392","1,710",260,na,"6,312",,823,"1,127","2,392","1,710",260,"443,240,144", 0.960000 , 0.960000 ,8736,26496,56160,124800,220800,"7,189,728","29,860,992","134,334,720","213,408,000","57,408,000","442,422,240","817,904",0.96,"if range(""R10"")=1 then Range(""AD10"").GoalSeek goal:=0, changingcell:=Range(""R10"")",8752.150204,26544.98304,56263.82274,125030.7172,221208.192,"7,203,020","29,916,196","134,583,064","213,802,526","57,514,130","443,240,144",0
ACT,2607,"1,387","1,588","3,167","2,590",492,na,"9,224",,"1,387","1,588","3,167","2,590",492,"702,412,777", 1.015327 , 1.015327 ,9239.4757,28023.0252,59396.6295,131992.51,233525.21,"12,815,153","44,500,564","188,109,126","341,860,601","114,894,403","702,413,372",-595,1.015327,"if range(""R11"")=1 then Range(""AD11"").GoalSeek goal:=0, changingcell:=Range(""R11"")",9239.468021,28023.00145,59396.5793,131992.3982,233525.0115,"12,815,142","44,500,526","188,108,967","341,860,311","114,894,306","702,412,777",0
ACT,2609,74,129,227,112,19,na,561,,74,129,227,112,19,"35,588,502", 0.970419 , 0.970419 ,8830.8129,26783.5644,56769.5115,126154.47,223196.37,"653,480","3,455,080","12,886,679","14,129,301","4,240,731","35,588,467",35,0.970419,"if range(""R12"")=1 then Range(""AD12"").GoalSeek goal:=0, changingcell:=Range(""R12"")",8830.819496,26783.59223,56769.56684,126154.5973,223196.5879,"653,481","3,455,083","12,886,692","14,129,315","4,240,735","35,588,503",1
ACT,2611,"2,301","2,745","6,548","5,449",671,na,"17,714",,"2,301","2,745","6,548","5,449",671,"1,249,602,374", 0.930500 , 0.930500 ,8467.55,25681.8,54434.25,120965,214015,"19,483,833","70,496,541","356,435,469","659,138,285","143,604,065","1,249,372,208","230,166",0.9305,"if range(""R13"")=1 then Range(""AD13"").GoalSeek goal:=0, changingcell:=Range(""R13"")",8469.110133,25686.53124,54444.27817,120987.2848,214054.427,"19,487,422","70,509,528","356,501,133","659,259,715","143,630,521","1,249,602,373",-1
ACT,2612,"1,464","1,629","3,656","2,895",536,na,"10,180",,"1,464","1,629","3,656","2,895",536,"758,531,550", 0.982529 , 0.982529 ,8941.0139,27117.8004,57477.9465,127728.77,225981.67,"13,089,644","44,174,897","210,139,372","369,774,789","121,126,175","758,530,859",691,0.982529,"if range(""R14"")=1 then Range(""AD14"").GoalSeek goal:=0, changingcell:=Range(""R14"")",8941.021806,27117.82519,57477.99875,127728.8863,225981.8756,"13,089,656","44,174,937","210,139,563","369,775,126","121,126,285","758,531,549",-1
ACT,2614,"1,817","2,234","4,334","3,469",470,na,"12,324",,"1,817","2,234","4,334","3,469",470,"836,934,914", 0.939288 , 0.939288 ,8547.5208,25924.3488,54948.348,122107.44,216036.24,"15,530,845","57,914,995","238,146,140","423,590,709","101,537,033","836,935,758",-844,0.939288,"if range(""R15"")=1 then Range(""AD15"").GoalSeek goal:=0, changingcell:=Range(""R15"")",8547.512019,25924.32256,54948.29253,122107.3168,216036.0226,"15,530,829","57,914,937","238,145,900","423,590,282","101,536,931","836,934,915",1
ACT,2615,"3,711","4,823","11,240","7,087",409,na,"27,270",,"3,711","4,823","11,240","7,087",409,"1,663,328,714", 0.903965 , 0.903965 ,8226.0815,24949.434,52881.9525,117515.45,207911.95,"30,526,988","120,331,120","594,393,146","832,831,994","85,035,988","1,663,327,148","1,566",0.903965,"if range(""R16"")=1 then Range(""AD16"").GoalSeek goal:=0, changingcell:=Range(""R16"")",8226.089124,24949.45745,52882.00228,117515.5606,207912.1468,"30,527,017","120,331,233","594,393,706","832,832,778","85,036,068","1,663,328,714",0
ACT,2617,"3,251","3,881","7,674","5,138",501,na,"20,445",,"3,251","3,881","7,674","5,138",501,"1,262,806,672", 0.920000 , 0.920000 ,8372,25392,53820,119600,211600,"27,217,372","98,546,352","413,014,680","614,504,800","106,011,600","1,259,506,404","3,300,268",0.92,"if range(""R17"")=1 then Range(""AD17"").GoalSeek goal:=0, changingcell:=Range(""R17"")",8393.937041,25458.53432,53961.02384,119913.3863,212154.4527,"27,288,689","98,804,572","414,096,897","616,114,979","106,289,381","1,262,806,672",0
ACT,2900,176,188,505,369,36,na,"1,274",,176,188,505,369,36,"86,035,622", 0.926980 , 0.926980 ,8435.518,25584.648,54228.33,120507.4,213205.4,"1,484,651","4,809,914","27,385,307","44,467,231","7,675,394","86,035,702",-80,0.92698,"if range(""R18"")=1 then Range(""AD18"").GoalSeek goal:=0, changingcell:=Range(""R18"")",8435.509202,25584.62515,54228.28027,120507.289,213205.1906,"1,484,650","4,809,910","27,385,282","44,467,190","7,675,387","86,035,624",2
ACT,2902,"1,273","1,663","3,647","2,471",260,na,"9,314",,"1,273","1,663","3,647","2,471",260,"598,964,489", 0.920000 , 0.920000 ,8372,25392,53820,119600,211600,"10,657,556","42,226,896","196,281,540","295,531,600","55,016,000","599,925,192","-960,703",0.92,"if range(""R19"")=1 then Range(""AD19"").GoalSeek goal:=0, changingcell:=Range(""R19"")",8358.593319,25351.33798,53733.8142,119408.476,211261.1498,"10,640,489","42,159,275","195,967,220","295,058,344","54,927,899","598,964,488",-1
ACT,2903,810,"1,067","2,315","1,589",131,na,"5,912",,810,"1,067","2,315","1,589",131,"371,323,350", 0.907486 , 0.907486 ,8258.1226,25046.6136,53087.931,117973.18,208721.78,"6,689,079","26,724,737","122,898,560","187,459,383","27,342,553","371,323,034",316,0.907486,"if range(""R20"")=1 then Range(""AD20"").GoalSeek goal:=0, changingcell:=Range(""R20"")",8258.12925,25046.63519,53087.97606,117973.2804,208721.9563,"6,689,085","26,724,760","122,898,665","187,459,543","27,342,576","371,323,351",1
ACT,2904,"1,067","1,459","3,315","2,519",287,na,"8,647",,"1,067","1,459","3,315","2,519",287,"593,551,482", 0.930000 , 0.930000 ,8463,25668,54405,120900,213900,"9,030,021","37,449,612","180,352,575","304,547,100","61,389,300","592,982,508","568,974",0.93,"if range(""R21"")=1 then Range(""AD21"").GoalSeek goal:=0, changingcell:=Range(""R21"")",8471.120352,25692.62876,54457.20227,121016.005,214105.2397,"9,038,685","37,485,545","180,525,626","304,839,317","61,448,204","593,551,482",0
ACT,2905,"2,218","3,272","7,670","4,769",290,na,"18,219",,"2,218","3,272","7,670","4,769",290,"1,133,002,873", 0.910000 , 0.910000 ,8281,25116,53235,118300,209300,"18,367,258","82,179,552","408,312,450","564,172,700","60,697,000","1,133,938,260","-935,387",0.91,"if range(""R22"")=1 then Range(""AD22"").GoalSeek goal:=0, changingcell:=Range(""R22"")",8274.168993,25095.28178,53191.08639,118202.4142,209127.3482,"18,352,107","82,111,762","407,975,633","563,707,313","60,646,931","1,133,002,873",0
