"5368.0 International Trade in Goods and Services, Australia",,,,,,
"TABLE 14a. MERCHANDISE EXPORTS, Country and Country Groups, FOB Value",,,,,,total trade all countries
,,,,,,615475
Country,Currency Code,FX Rates Exist?,UN Member State,FY18 Imports (AUD $m),FY18 Exports (AUD $m),FY18 Total Trade (AUD $m)
Afghanistan,AFN,N,Y,0,12,12
Albania,ALL,N,Y,10,2,12
Algeria,DZD,N,Y,543,28,571
Angola,AOA,N,Y,32,27,59
Anguilla,XCD,N,N,0,0,0
Antarctica,N/A,N,N,0,10,10
Antigua and Barbuda,XCD,N,Y,3,0,3
Argentina,ARS,Y,Y,688,333,1021
Armenia,AMD,N,Y,0,0,0
Australian Antarctic Terr,AUD,N,N,0,0,0
Aust Fishing Zone,AUD,N,N,0,0,0
Australia (Re-imports),AUD,N,Y,911,0,911
Austria,EUR,Y,Y,1798,56,1854
Azerbaijan,AZN,N,Y,0,0,0
Bahamas,BSD,N,Y,6,8,14
Bahrain,BHD,Y,Y,100,1047,1147
Bangladesh,BDT,N,Y,873,1102,1975
Barbados,BBD,N,Y,0,0,0
Belarus,BYN,N,Y,15,0,15
Belgium-Luxembourg,EUR,Y,Y,0,0,0
Belgium,EUR,Y,Y,2082,1110,3192
Belize,BZD,N,Y,0,0,0
Benin,XOF,Y,Y,0,0,0
Bermuda,BMD,N,N,0,0,0
Bhutan,BTN,N,Y,0,0,0
Bolivia,BOB,N,Y,16,0,16
Bosnia and Herzegovina,BAM,N,Y,23,0,23
Botswana,BWP,N,Y,0,0,0
Brazil,BRL,Y,Y,761,1510,2271
Brit.Ind.Ocean Territory,USD,Y,N,0,0,0
Brunei Darussalam,BND,Y,Y,589,48,637
Bulgaria,BGN,Y,Y,72,29,101
Burkina Faso,XOF,Y,Y,0,13,13
Burundi,BIF,N,Y,0,0,0
Cabo Verde,CVE,N,Y,0,0,0
Cambodia,KHR,N,Y,166,50,216
Cameroon,XAF,N,Y,0,1,1
Canada,CAD,Y,Y,2133,1682,3815
Cayman Islands,KYD,N,N,20,1,21
