E2 HOUSEHOLD FINANCES – SELECTED RATIOS,,,,,,,,,,,,,,,,,,,,
Title,Household debt to assets,Housing debt to housing assets,Household debt to income,Housing debt to income,Owner-occupier housing debt to income,Household assets to income,Housing assets to income,Household financial assets to income,Household interest payments to income,Housing interest payments to income,,,,,,,,,,
Description,Ratio of household debt to household assets,Ratio of housing debt to housing assets,Ratio of household debt to annualised household disposable income ,Ratio of housing debt to annualised household disposable income ,Ratio of owner-occupier housing debt to annualised household disposable income ,Ratio of total household assets to annualised household disposable income,Ratio of housing assets to annualised household disposable income,Ratio of financial assets to annualised household disposable income,Ratio of interest payments on housing and other personal debt to quarterly household disposable income,Ratio of interest payments on housing debt to quarterly household disposable income,,,,,,,,,,
Frequency,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,,,,,,,,,,
Type,Original,Original,Original,Original,Seasonally adjusted,Original,Original,Original,Seasonally adjusted,Seasonally adjusted,,,,,,,,,,
Units,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Source,ABS,ABS,ABS,ABS,RBA,ABS,ABS,ABS,RBA,RBA,,,,,,,,,,
Publication date,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,,,,,,,,,,
Series ID,BHFDA,BHFHDHA,BHFDDIT,BHFDDIH,BHFDDIO,BHFADIT,BHFHDI,BHFADIFA,BHFIPDT,BHFIPDH,,,,,,,,,,
Mar-1977,,,,,,,,,5.4,3.8,,,,,,,,,,
Jun-1977,,,,,,,,,5.4,3.8,,,,,,,,,,
Sep-1977,,,,,,,,,5.6,3.9,,,,,,,,,,
Dec-1977,,,,,,,,,5.5,3.8,,,,,,,,,,
Mar-1978,,,,,,,,,5.4,3.7,,,,,,,,,,
Jun-1978,,,,,,,,,5.4,3.7,,,,,,,,,,
Sep-1978,,,,,,,,,5.5,3.8,,,,,,,,,,
Dec-1978,,,,,,,,,5.6,3.8,,,,,,,,,,
Mar-1979,,,,,,,,,5.5,3.8,,,,,,,,,,
Jun-1979,,,,,,,,,5.6,3.8,,,,,,,,,,
Sep-1979,,,,,,,,,5.7,3.9,,,,,,,,,,
Dec-1979,,,,,,,,,5.6,3.8,,,,,,,,,,
Mar-1980,,,,,,,,,5.7,3.9,,,,,,,,,,
Jun-1980,,,,,,,,,5.8,4.0,,,,,,,,,,
Sep-1980,,,,,,,,,5.7,3.9,,,,,,,,,,
Dec-1980,,,,,,,,,5.8,4.0,,,,,,,,,,
Mar-1981,,,,,,,,,6.2,4.2,,,,,,,,,,
Jun-1981,,,,,,,,,6.1,4.2,,,,,,,,,,
Sep-1981,,,,,,,,,6.4,4.3,,,,,,,,,,
Dec-1981,,,,,,,,,6.5,4.4,,,,,,,,,,
Mar-1982,,,,,,,,,6.5,4.4,,,,,,,,,,
Jun-1982,,,,,,,,,6.6,4.5,,,,,,,,,,
Sep-1982,,,,,,,,,6.8,4.6,,,,,,,,,,
Dec-1982,,,,,,,,,6.7,4.5,,,,,,,,,,
Mar-1983,,,,,,,,,6.5,4.3,,,,,,,,,,
Jun-1983,,,,,,,,,6.7,4.3,,,,,,,,,,
Sep-1983,,,,,,,,,6.4,4.1,,,,,,,,,,
Dec-1983,,,,,,,,,6.3,4.0,,,,,,,,,,
Mar-1984,,,,,,,,,6.3,4.0,,,,,,,,,,
Jun-1984,,,,,,,,,6.2,4.0,,,,,,,,,,
Sep-1984,,,,,,,,,5.7,3.8,,,,,,,,,,
Dec-1984,,,,,,,,,5.6,3.9,,,,,,,,,,
Mar-1985,,,,,,,,,5.7,4.0,,,,,,,,,,
Jun-1985,,,,,,,,,6.0,4.1,,,,,,,,,,
Sep-1985,,,,,,,,,6.5,4.3,,,,,,,,,,
Dec-1985,,,,,,,,,6.9,4.6,,,,,,,,,,
Mar-1986,,,,,,,,,7.2,4.8,,,,,,,,,,
Jun-1986,,,,,,,,,7.3,4.8,,,,,,,,,,
Sep-1986,,,,,,,,,7.6,5.2,,,,,,,,,,
Dec-1986,,,,,,,,,7.7,5.3,,,,,,,,,,
Mar-1987,,,,,,,,,7.8,5.4,,,,,,,,,,
Jun-1987,,,,,,,,,7.7,5.4,,,,,,,,,,
Sep-1987,,,,,,,,,7.0,4.8,,,,,,,,,,
Dec-1987,,,,,,,,,7.1,4.9,,,,,,,,,,
Mar-1988,,,,,,,,,6.9,4.8,,,,,,,,,,
Jun-1988,,,63.2,,,,,208.8,7.0,4.9,,,,,,,,,,
Sep-1988,12.1,11.7,63.7,31.9,,525.8,272.4,208.1,7.7,5.3,,,,,,,,,,
Dec-1988,12.2,11.4,65.4,32.3,,535.5,283.5,207.0,7.9,5.4,,,,,,,,,,
Mar-1989,12.5,11.5,66.9,33.0,,534.0,286.1,203.4,8.3,5.6,,,,,,,,,,
Jun-1989,12.9,11.6,68.5,33.0,,531.3,284.0,203.4,8.6,5.9,,,,,,,,,,
Sep-1989,12.8,11.3,67.4,31.8,,527.7,280.3,204.0,9.7,6.3,,,,,,,,,,
Dec-1989,12.9,11.6,67.0,31.7,,518.6,274.2,201.6,9.1,6.1,,,,,,,,,,
Mar-1990,13.2,11.6,67.9,31.4,27.5,513.0,271.7,199.0,9.1,6.0,,,,,,,,,,
Jun-1990,13.5,11.6,68.9,31.5,27.7,508.8,271.6,195.0,9.1,5.9,,,,,,,,,,
Sep-1990,13.3,11.8,66.7,31.3,27.6,499.7,265.9,191.7,8.9,5.8,,,,,,,,,,
Dec-1990,13.5,12.0,67.0,31.7,28.0,496.5,264.7,189.5,8.4,5.6,,,,,,,,,,
Mar-1991,13.4,11.9,68.0,32.2,28.6,507.1,270.2,193.9,8.1,5.2,,,,,,,,,,
Jun-1991,13.4,12.1,68.7,33.0,29.2,512.6,272.5,196.7,8.0,5.2,,,,,,,,,,
Sep-1991,13.2,12.1,69.0,33.7,29.6,523.3,278.4,201.1,7.2,4.7,,,,,,,,,,
Dec-1991,13.3,12.4,70.9,34.8,30.7,531.9,281.5,206.0,6.9,4.5,,,,,,,,,,
Mar-1992,13.5,12.7,70.9,35.0,31.3,526.4,276.5,205.1,6.4,4.3,,,,,,,,,,
Jun-1992,13.3,12.7,70.9,35.7,31.8,532.5,280.4,207.0,6.2,4.1,,,,,,,,,,
Sep-1992,13.5,12.9,72.2,36.4,32.5,535.6,282.3,207.9,6.4,4.2,,,,,,,,,,
Dec-1992,13.2,13.1,71.3,37.2,33.5,538.9,284.1,209.2,6.4,4.4,,,,,,,,,,
Mar-1993,13.1,13.6,70.8,38.2,34.6,540.8,281.0,213.9,6.0,4.4,,,,,,,,,,
Jun-1993,13.5,13.8,73.9,39.3,35.6,547.1,284.3,216.7,6.0,4.4,,,,,,,,,,
Sep-1993,13.3,14.2,74.2,40.8,36.8,558.1,287.5,224.0,6.0,4.4,,,,,,,,,,
Dec-1993,13.2,14.5,75.7,42.5,38.1,571.4,293.7,230.8,5.9,4.3,,,,,,,,,,
Mar-1994,13.2,14.6,76.3,43.9,39.4,576.5,301.3,228.3,5.8,4.4,,,,,,,,,,
Jun-1994,13.8,15.1,79.0,45.5,40.9,573.4,301.1,225.4,5.9,4.5,,,,,,,,,,
Sep-1994,14.0,15.5,80.5,46.9,41.8,574.3,302.9,224.7,6.2,4.7,,,,,,,,,,
Dec-1994,14.3,16.0,81.2,48.1,42.4,566.6,300.7,219.5,6.7,5.1,,,,,,,,,,
Mar-1995,14.5,16.5,81.5,48.8,42.9,560.1,295.2,218.7,7.1,5.5,,,,,,,,,,
Jun-1995,14.6,16.6,82.5,49.1,43.2,565.8,295.7,224.1,7.2,5.6,,,,,,,,,,
Sep-1995,14.9,17.1,83.5,49.4,43.3,560.8,288.8,226.5,7.3,5.6,,,,,,,,,,
Dec-1995,15.4,17.7,85.6,50.3,43.9,555.6,284.4,226.2,7.3,5.7,,,,,,,,,,
Mar-1996,15.6,17.8,86.5,50.8,44.5,554.9,285.0,225.3,7.4,5.8,,,,,,,,,,
Jun-1996,15.8,17.9,87.7,51.3,44.8,556.3,287.3,225.1,7.4,5.7,,,,,,,,,,
Sep-1996,15.8,17.9,88.0,51.3,45.3,557.6,286.3,228.0,7.1,5.4,,,,,,,,,,
Dec-1996,15.5,17.7,88.7,52.5,45.5,572.3,297.5,232.0,6.9,5.2,,,,,,,,,,
Mar-1997,15.6,17.8,89.1,53.1,45.7,572.0,298.1,231.5,6.5,4.8,,,,,,,,,,
Jun-1997,15.4,17.7,90.6,54.2,46.4,586.8,305.4,239.2,6.3,4.7,,,,,,,,,,
Sep-1997,15.4,17.6,92.4,55.1,47.1,599.3,313.1,244.3,6.2,4.6,,,,,,,,,,
Dec-1997,16.1,18.2,95.4,55.9,47.5,593.6,307.5,244.3,6.2,4.6,,,,,,,,,,
Mar-1998,16.1,18.7,96.2,57.5,48.1,596.5,307.8,246.9,6.3,4.6,,,,,,,,,,
Jun-1998,16.4,18.7,99.5,58.7,49.2,607.5,313.6,252.0,6.3,4.7,,,,,,,,,,
Sep-1998,16.3,18.8,100.1,59.7,49.4,614.4,318.0,254.6,6.3,4.6,,,,,,,,,,
Dec-1998,16.4,19.2,102.9,61.4,50.2,625.8,320.7,263.2,6.4,4.7,,,,,,,,,,
Mar-1999,16.2,18.7,103.9,62.1,50.7,641.3,331.9,267.5,6.4,4.7,,,,,,,,,,
Jun-1999,16.6,19.3,106.3,63.6,50.7,640.0,329.6,268.7,6.2,4.5,,,,,,,,,,
Sep-1999,16.4,19.0,106.8,64.9,51.6,650.4,340.8,268.1,6.4,4.7,,,,,,,,,,
Dec-1999,16.2,18.9,108.1,66.0,51.9,667.3,349.2,277.0,6.6,4.8,,,,,,,,,,
Mar-2000,16.5,19.4,109.2,66.8,52.5,660.1,343.8,275.5,7.0,5.2,,,,,,,,,,
Jun-2000,17.1,20.0,113.9,68.9,53.5,664.5,344.4,279.2,7.6,5.7,,,,,,,,,,
Sep-2000,17.3,20.6,112.5,69.8,52.8,651.5,338.3,272.9,7.4,5.5,,,,,,,,,,
